number;comp_name;completion
227;trans-1,3-pentadiene;incomplete
284;cis-1,3-pentadiene;incomplete
351;cyclopentene;incomplete
522;methylenecyclobutane;incomplete
5384;3-methyl-1,2-butadiene;incomplete
5385;1,2-pentadiene;incomplete
5386;1-pentyne;incomplete
5387;2-pentyne;incomplete
7940;isoprene;incomplete
10477;1,3-pentadiene;incomplete
1235;cyclopentane;incomplete
2176;2-methyl-1-butene;incomplete
4812;1-pentene;incomplete
4813;2-pentene;incomplete
4814;cis-2-pentene;incomplete
5405;trans-2-pentene;incomplete
8989;pentene;incomplete
10424;2-methyl-2-butene;incomplete
2475;pentane;incomplete
10633;isopentane;incomplete
